10/09/2013,3
11/09/2013,4
12/09/2013,2
13/09/2013,1
14/09/2013,1
15/09/2013,1
16/09/2013,1
17/09/2013,3
18/09/2013,4
19/09/2013,4
20/09/2013,0
21/09/2013,1
22/09/2013,0
23/09/2013,0
24/09/2013,1
25/09/2013,4
26/09/2013,1
27/09/2013,0
28/09/2013,3
29/09/2013,2
30/09/2013,0
01/10/2013,3
02/10/2013,1
03/10/2013,8
04/10/2013,6
05/10/2013,0
06/10/2013,0
07/10/2013,1
08/10/2013,2
09/10/2013,2
10/10/2013,3
11/10/2013,3
12/10/2013,0
13/10/2013,8
14/10/2013,1
15/10/2013,2
16/10/2013,3
17/10/2013,8
18/10/2013,6
19/10/2013,1
20/10/2013,2
21/10/2013,9
22/10/2013,5
23/10/2013,2
24/10/2013,2
25/10/2013,1
26/10/2013,2
27/10/2013,3
28/10/2013,3
29/10/2013,2
30/10/2013,5
31/10/2013,1
01/11/2013,2
02/11/2013,0
03/11/2013,0
04/11/2013,2
05/11/2013,2
06/11/2013,2
07/11/2013,3
08/11/2013,2
09/11/2013,2
10/11/2013,5
11/11/2013,5
12/11/2013,2
13/11/2013,3
14/11/2013,3
15/11/2013,1
16/11/2013,0
17/11/2013,2
18/11/2013,5
19/11/2013,2
20/11/2013,1
21/11/2013,0
22/11/2013,0
23/11/2013,0
24/11/2013,1
25/11/2013,1
26/11/2013,0
27/11/2013,0
28/11/2013,0
29/11/2013,2
30/11/2013,3
01/12/2013,1
02/12/2013,2
03/12/2013,2
04/12/2013,0
05/12/2013,1
06/12/2013,1
07/12/2013,2
08/12/2013,1
09/12/2013,5
10/12/2013,5
11/12/2013,5
12/12/2013,10
13/12/2013,2
14/12/2013,1
15/12/2013,1
16/12/2013,3
17/12/2013,2
18/12/2013,4
19/12/2013,1
20/12/2013,3
21/12/2013,4
22/12/2013,1
23/12/2013,3
24/12/2013,2
25/12/2013,0
26/12/2013,0
27/12/2013,1
28/12/2013,0
29/12/2013,2
30/12/2013,0
31/12/2013,2
01/01/2014,1
02/01/2014,2
03/01/2014,1
04/01/2014,1
05/01/2014,1
06/01/2014,1
07/01/2014,3
08/01/2014,1
09/01/2014,0
10/01/2014,1
11/01/2014,1
12/01/2014,3
13/01/2014,1
14/01/2014,0
15/01/2014,4
16/01/2014,1
17/01/2014,2
18/01/2014,0
19/01/2014,1
20/01/2014,3
21/01/2014,1
22/01/2014,3
23/01/2014,4
24/01/2014,8
25/01/2014,3
26/01/2014,1
27/01/2014,3
28/01/2014,2
29/01/2014,3
30/01/2014,1
31/01/2014,9
01/02/2014,1
02/02/2014,1
03/02/2014,1
04/02/2014,0
05/02/2014,1
06/02/2014,2
07/02/2014,0
08/02/2014,1
09/02/2014,1
10/02/2014,7
11/02/2014,4
12/02/2014,4
13/02/2014,5
14/02/2014,2
15/02/2014,3
16/02/2014,2
17/02/2014,3
18/02/2014,3
19/02/2014,1
20/02/2014,4
21/02/2014,0
22/02/2014,0
23/02/2014,1
24/02/2014,1
25/02/2014,3
26/02/2014,2
27/02/2014,5
28/02/2014,7
01/03/2014,2
02/03/2014,5
03/03/2014,6
04/03/2014,3
05/03/2014,29
06/03/2014,6
07/03/2014,1
08/03/2014,0
09/03/2014,1
10/03/2014,3
11/03/2014,0
12/03/2014,7
13/03/2014,1
14/03/2014,3
15/03/2014,2
16/03/2014,9
17/03/2014,5
18/03/2014,3
19/03/2014,2
20/03/2014,1
21/03/2014,1
22/03/2014,0
23/03/2014,0
24/03/2014,2
25/03/2014,1
26/03/2014,0
27/03/2014,0
28/03/2014,3
29/03/2014,0
30/03/2014,5
31/03/2014,3
01/04/2014,3
02/04/2014,12
03/04/2014,5
04/04/2014,2
05/04/2014,3
06/04/2014,0
07/04/2014,3
08/04/2014,5
09/04/2014,6
10/04/2014,4
11/04/2014,2
12/04/2014,0
13/04/2014,0
14/04/2014,2
15/04/2014,3
16/04/2014,4
17/04/2014,1
18/04/2014,2
19/04/2014,1
20/04/2014,2
21/04/2014,1
22/04/2014,1
23/04/2014,3
24/04/2014,4
25/04/2014,3
26/04/2014,3
27/04/2014,0
28/04/2014,4
29/04/2014,6
30/04/2014,2
01/05/2014,3
02/05/2014,0
03/05/2014,2
04/05/2014,3
05/05/2014,3
06/05/2014,1
07/05/2014,4
08/05/2014,2
09/05/2014,1
10/05/2014,0
11/05/2014,1
12/05/2014,7
13/05/2014,3
14/05/2014,3
15/05/2014,3
16/05/2014,2
17/05/2014,1
18/05/2014,1
19/05/2014,1
20/05/2014,0
21/05/2014,5
22/05/2014,13
