"tweet_id","in_reply_to_status_id","in_reply_to_user_id","timestamp","source","text","retweeted_status_id","retweeted_status_user_id","retweeted_status_timestamp","expanded_urls"
"504375551373901824","","","2014-08-26 21:11:16 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Read the source Luke — http://t.co/2GfISohAa8 — via @FreeArtBureau","","","","http://ow.ly/i/6GcIJ"
"502008214402367489","","","2014-08-20 08:24:19 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Processing 3.0 will include ""PDE X"" editor (with things like code completion) — http://t.co/H4MPMVKKAG","","","","http://www.mkmoharana.com/2014/08/google-summer-of-code-2014-its-wrap.html"
"501496364358832129","","","2014-08-18 22:30:25 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","""Hyperlapse"", giving first-person videos some smooth camera path with algorithms — http://t.co/bgcAmcEaNG","","","","http://research.microsoft.com/en-us/um/redmond/projects/hyperlapse/"
"500306233963069440","500304843802947584","40197991","2014-08-15 15:41:16 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@Enroweb alors je t'avoue que je n'ai regardé que les images pour l'instant. Prends-le si tu veux!","","","",""
"492585720436256768","","","2014-07-25 08:22:42 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","""Computing (almost) without Computers"", great references page by @golan — http://t.co/IXHMhRBFz5","","","","http://www.flong.com/blog/2014/computing-without-computers/"
"489881720389644288","489861543509889025","223166622","2014-07-17 21:17:58 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@BenoitWimart eh je viens quelques jours à Amiens cet été ! Si tu es là, on se voit.","","","",""
"488983062680993792","","","2014-07-15 09:47:01 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","« Languages as Symbols » by @aisaname — http://t.co/VYQ5TydNYP","","","","http://writing-system.tumblr.com/"
"477541678602276864","","","2014-06-13 20:03:03 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Le graffiti est désormais balisé. #transfert #bordeaux","","","",""
"472842164528226304","472841837548695553","515312865","2014-05-31 20:48:51 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@soixante15 mignogni perd ses cheveux.","","","",""
"472841889511931904","472841837548695553","515312865","2014-05-31 20:47:46 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@soixante15 uh uh","","","",""
"472841679217909760","472841554487685120","515312865","2014-05-31 20:46:55 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@soixante15 ""le maïs euh... Je sais plus.","","","",""
"472841225280954369","472839913189416960","515312865","2014-05-31 20:45:07 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@soixante15 tu regardes sur canal. Sur france2, montage époque salviac / albaladejo.","","","",""
"472838387670732802","472835827614363649","515312865","2014-05-31 20:33:51 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@soixante15 castres s'enterre à coups de pieds.","","","",""
"472835666796359680","472830983105150976","515312865","2014-05-31 20:23:02 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@soixante15 et cocote rata.","","","",""
"472834364385275904","472830983105150976","515312865","2014-05-31 20:17:51 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@soixante15 à moins d'un contre castrais... Imaginer boudjellal jubiler me rend triste.","","","",""
"472829717020954624","472824889209286656","515312865","2014-05-31 19:59:23 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@soixante15 Toulon plus fort en mêlée ...","","","",""
"471001917691531265","","","2014-05-26 18:56:22 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Free Graffiti by Farewell — http://t.co/YywVFCP580 via @ekosystem","","","","http://bit.ly/1mgz1JR"
"470543555208155136","","","2014-05-25 12:35:00 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Bon j'ai voté parti pirate.","","","",""
"466936002339430400","","","2014-05-15 13:39:52 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Booting @lab_normals A P P A R E L.","","","",""
